Date,Species,Antibody_status
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
29/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
30/08/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
