Date_EC,Lactation,Res1GP-ZEBVkiss,Age
5/3/2019,0,0,Adulte immature
5/3/2019,0,0,Adulte immature
5/7/2019,0,0,Adulte immature
5/11/2019,,0,Adulte immature
7/13/2019,,0,Adulte immature
7/18/2019,,0,Adulte immature
9/14/2019,1,0,Adulte immature
9/14/2019,,0,Adulte immature
9/20/2019,0,1,Adulte immature
9/20/2019,,0,Adulte immature
10/9/2019,,0,Adulte immature
10/10/2019,,0,Adulte immature
10/11/2019,,0,Adulte immature
11/26/2019,,0,Adulte immature
11/27/2019,,0,Adulte immature
11/27/2019,,0,Adulte immature
11/27/2019,0,0,Adulte immature
11/27/2019,0,0,Adulte immature
11/27/2019,,1,Adulte immature
11/27/2019,,0,Adulte immature
5/3/2019,0,0,Juv̩nile
5/3/2019,,0,Juv̩nile
5/3/2019,,0,Juv̩nile
5/3/2019,,0,Juv̩nile
5/4/2019,,0,Juv̩nile
5/4/2019,,0,Juv̩nile
5/6/2019,,0,Juv̩nile
5/6/2019,0,0,Juv̩nile
5/6/2019,0,0,Juv̩nile
5/9/2019,,0,Juv̩nile
5/11/2019,0,0,Juv̩nile
5/11/2019,,0,Juv̩nile
6/12/2019,0,0,Juv̩nile
6/12/2019,,0,Juv̩nile
6/17/2019,,1,Juv̩nile
6/17/2019,,0,Juv̩nile
6/17/2019,,0,Juv̩nile
6/18/2019,,0,Juv̩nile
6/18/2019,,0,Juv̩nile
7/18/2019,0,0,Juv̩nile
9/14/2019,,1,Juv̩nile
9/16/2019,,0,Juv̩nile
9/17/2019,,0,Juv̩nile
9/17/2019,,0,Juv̩nile
9/17/2019,,0,Juv̩nile
9/17/2019,,0,Juv̩nile
9/20/2019,,0,Juv̩nile
9/20/2019,,0,Juv̩nile
10/9/2019,,0,Juv̩nile
10/9/2019,0,0,Juv̩nile
10/9/2019,0,0,Juv̩nile
10/9/2019,0,0,Juv̩nile
10/10/2019,,1,Juv̩nile
10/11/2019,0,0,Juv̩nile
10/14/2019,,0,Juv̩nile
10/14/2019,,0,Juv̩nile
11/22/2019,0,0,Juv̩nile
11/25/2019,0,0,Juv̩nile
11/26/2019,0,0,Juv̩nile
11/26/2019,,0,Juv̩nile
12/5/2018,0,0,Juv̩nile
12/5/2018,0,1,Juv̩nile
12/5/2018,0,0,Juv̩nile
12/6/2018,,0,Juv̩nile
3/28/2019,0,0,Juv̩nile
3/28/2019,,0,Juv̩nile
3/28/2019,0,0,Juv̩nile
3/28/2019,0,0,Juv̩nile
3/28/2019,0,0,Juv̩nile
3/28/2019,0,0,Juv̩nile
3/29/2019,0,0,Juv̩nile
3/29/2019,0,0,Juv̩nile
3/29/2019,,0,Juv̩nile
3/1/2019,0,0,Juv̩nile
4/1/2019,,0,Juv̩nile
4/1/2019,0,0,Juv̩nile
4/2/2019,0,0,Juv̩nile
4/2/2019,,0,Juv̩nile
4/2/2019,,0,Juv̩nile
4/2/2019,0,0,Juv̩nile
