ID,Date,Date_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03795,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,160,110,195,manquant,0,77,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,1,2,3,2,5,18,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03796,4/5/2019,5/4/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,160,107,195,manquant,0,75,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,11,9,3,2,28,4,7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03797,4/5/2019,5/4/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,145,108,195,manquant,0,77,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,0,0,0,1,1,1,0,4,4,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03834,6/5/2019,5/6/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,140,99,175,manquant,0,80,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,0,2,3,1,1,7,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03835,6/5/2019,5/6/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,0,0,FemAd,135,121,220,manquant,0,87,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,13,47,1,3,27,3,11,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03843,6/5/2019,5/6/2109,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,0,0,FemAd,245,122,230,manquant,0,86,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,17,9,1,1,38,2,6,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03844,6/5/2019,5/6/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,125,103,190,manquant,0,74,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,33,0,0,1,2,7,0,4,6,15,10,130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03845,6/5/2019,5/6/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,135,105,190,manquant,0,72,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,5,0,0,0,2,6,1,2,16,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03872,7/5/2019,5/7/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte immature,0,0,0,FemAdImmature,155,108,200,manquant,0,76,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,1,0,0,0,1,2,1,1,7,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03877,9/5/2019,5/9/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,200,107,200,manquant,0,75,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,18,8,8,1,17,7,8,6,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
