ID,Dat_EC,Site Region,Site Precis,Age,Gestante,Lactation,Res1GP-ZEBVkiss,Juvinile
CCCA03677,2019-03-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03678,2019-03-01,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03625,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03627,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03630,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03631,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03635,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03637,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03640,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03642,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03644,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03645,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03646,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03648,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03650,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03651,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03652,2019-03-28,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03655,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03657,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03660,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03662,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03663,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03666,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03667,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03668,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03669,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03670,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03672,2019-03-29,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03675,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03676,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03680,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03685,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03687,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03688,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03690,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03692,2019-04-01,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03695,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03696,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03698,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03703,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03706,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03707,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03713,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03716,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,0,0
CCCA03719,2019-04-02,Yaounde,Mvog-Betsi,A,0,1,1,0
CCCA03747,2019-04-05,Obala,Mfomakap,A,0,1,1,0
CCCA03767,2019-05-03,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03780,2019-05-03,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03785,2019-05-03,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03787,2019-05-03,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03800,2019-05-04,Yaound̩,Mvog-Betsi,A,0,1,1,0
CCCA03816,2019-05-04,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03818,2019-05-04,Yaound̩,Mvog-Betsi,A,0,1,1,0
CCCA03819,2019-05-04,Yaound̩,Mvog-Betsi,A,0,1,1,0
CCCA03820,2019-05-04,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03830,2019-05-06,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03853,2019-05-07,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03854,2019-05-07,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03876,2019-05-09,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03884,2019-05-09,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03885,2019-05-09,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03894,2019-05-10,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03896,2019-05-10,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03904,2019-05-10,Yaound̩,Mvog-Betsi,A,0,1,0,0
