ID,Date,Dat_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03773,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,100,97,175,manquant,11,63,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,5,0,0,1,1,5,13,8,10,2,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03774,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,130,98,175,manquant,9,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,19,0,0,4,5,3,1,12,8,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03775,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,125,95,195,manquant,12,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,1,0,91,0,0,21,17,4,2,55,13,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03776,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,105,97,178,manquant,18,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,1,0,0,10,8,3,3,97,7,5,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03777,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,130,101,198,manquant,18,66,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,1,0,75,0,0,0,1,88,11,4,4,4,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03778,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,120,95,180,manquant,13,60,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,17,0,0,2,3,3,2,9,4,2,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03779,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,100,97,170,manquant,8,67,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,12,0,0,17,16,40,13,67,16,14,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03780,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,1,0,FemAdLact,325,125,240,manquant,15,91,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,42,34,3,3,120,5,32,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03781,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,0,99,195,manquant,8,1,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,2,0,0,1,2,3,4,4,6,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03782,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,135,101,190,manquant,8,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,6,0,0,24,18,4,1,111,3,15,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03783,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,105,100,170,manquant,10,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,1,1,3,5,2,14,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03784,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,95,94,165,manquant,10,65,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,7,0,0,1,2,8,77,8,12,3,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03785,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Adulte,0,1,0,FemAdLact,290,123,250,manquant,20,85,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,5,0,0,52,51,10,3,155,4,41,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03786,3/5/2019,5/3/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,140,100,200,manquant,11,66,Jaune,Jaune,,,,,,Eidolon,helvum,Eidolon helvum,,,0,0,19,0,0,4,5,1,10,10,4,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
